id	rate
6111	3
8079	3
8103	3
8109	3
8117	3
9015	3
12005	3
12057	3
12095	3
12107	3
12121	3
12127	3
13005	3
13021	3
13223	3
13261	3
15007	3
16017	3
16033	3
16041	3
16045	3
16055	3
17015	3
17091	3
17121	3
18001	3
18003	3
18065	3
18087	3
18089	3
18135	3
18163	3
19005	3
19011	3
19021	3
19027	3
19039	3
19047	3
19065	3
19093	3
19105	3
19113	3
19117	3
19147	3
19193	3
20001	3
20003	3
20017	3
20029	3
20041	3
20075	3
20095	3
20101	3
20121	3
20163	3
20185	3
21033	3
21107	3
21115	3
21121	3
21183	3
22025	3
22041	3
22073	3
22075	3
22097	3
22107	3
22117	3
23013	3
24019	3
24029	3
24041	3
26003	3
26011	3
26013	3
26055	3
26059	3
26063	3
26065	3
26075	3
26093	3
26105	3
26107	3
26113	3
26117	3
26119	3
26135	3
26141	3
27017	3
27037	3
27099	3
27129	3
27143	3
27157	3
27165	3
28031	3
28033	3
28051	3
28099	3
28113	3
28115	3
28117	3
28163	3
29023	3
29025	3
29041	3
29085	3
29091	3
29179	3
29225	3
30005	3
30085	3
30095	3
30105	3
31001	3
31015	3
31039	3
31103	3
31105	3
31129	3
34013	3
34037	3
35035	3
35043	3
36007	3
36021	3
36029	3
36043	3
36081	3
36121	3
37025	3
37075	3
37089	3
37113	3
37117	3
37119	3
37141	3
37193	3
38009	3
38015	3
38033	3
38101	3
39003	3
39025	3
39037	3
39063	3
39083	3
39159	3
39167	3
39171	3
39173	3
40025	3
40049	3
40071	3
40089	3
40133	3
40135	3
41005	3
41009	3
41041	3
41049	3
41055	3
41069	3
42003	3
42005	3
42015	3
42023	3
42051	3
42059	3
42063	3
42065	3
42077	3
42111	3
45019	3
45061	3
45085	3
45087	3
46017	3
46031	3
46045	3
46053	3
46073	3
46089	3
47001	3
47011	3
47017	3
47049	3
47055	3
47059	3
47065	3
47097	3
47099	3
47107	3
47141	3
47147	3
47165	3
47171	3
48005	3
48009	3
48037	3
48071	3
48091	3
48115	3
48127	3
48153	3
48173	3
48207	3
48219	3
48231	3
48247	3
48265	3
48285	3
48313	3
48341	3
48343	3
48373	3
48383	3
48389	3
